% Langmuir characteristic curve

% U (Volt)	I (A)
-5.816000	5.888636E-6
-5.809000	6.104354E-6
-5.802000	6.442657E-6
-5.795000	6.383401E-6
-5.788000	6.303075E-6
-5.781000	6.421469E-6
-5.774000	6.662565E-6
-5.767000	6.878166E-6
-5.760000	6.751274E-6
-5.753000	6.920425E-6
-5.746000	7.127644E-6
-5.739000	7.542083E-6
-5.732000	7.554772E-6
-5.725000	7.694354E-6
-5.718000	7.846509E-6
-5.711000	8.002971E-6
-5.704000	7.926952E-6
-5.697000	8.277944E-6
-5.689500	8.540112E-6
-5.682500	8.417410E-6
-5.675500	8.628820E-6
-5.668500	8.984120E-6
-5.661500	8.891104E-6
-5.654500	9.204028E-6
-5.647500	9.394251E-6
-5.640500	9.660725E-6
-5.633500	9.791809E-6
-5.626500	1.009624E-5
-5.619500	1.016818E-5
-5.612500	1.051067E-5
-5.605500	1.046841E-5
-5.598500	1.053605E-5
-5.591500	1.096737E-5
-5.584500	1.108996E-5
-5.577500	1.131417E-5
-5.570500	1.155096E-5
-5.563500	1.154665E-5
-5.556500	1.212186E-5
-5.549500	1.228671E-5
-5.542500	1.224864E-5
-5.535500	1.260813E-5
-5.528500	1.276040E-5
-5.521500	1.303945E-5
-5.514500	1.304795E-5
-5.507500	1.348346E-5
-5.500500	1.370755E-5
-5.493500	1.404167E-5
-5.486500	1.443073E-5
-5.479500	1.420663E-5
-5.472500	1.457869E-5
-5.465500	1.487473E-5
-5.458500	1.523411E-5
-5.451500	1.548789E-5
-5.444500	1.564436E-5
-5.437500	1.602911E-5
-5.430500	1.628289E-5
